PRICE,LAND AREA,ROAD ACCESS,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITY_PARKING,LOCATION_Kathmandu,LOCATION_Lalitpur,AMENITY_MARBEL,AMENITY_PARQUET,AMENITY_DRINKING_WATER,AMENITY_MODULAR_KITCHEN,AMENITY_GARDEN,AMENITY_DRAINAGE,AMENITY_POWER_BACKUP,AMENITY_RESERVE_TANK,AMENITY_WATER_WELL
24000000,2.3,13.0,3.5,5.0,4.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
27500000,4.0,13.0,2.5,4.0,4.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
22500000,3.2,13.0,2.5,4.0,3.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
18000000,4.2,13.0,2.5,4.0,4.0,2078,1,0,1,0,1,1,0,0,1,1,1,0
25000000,3.2,14.0,2.5,3.0,3.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
16500000,3.1,13.0,1.0,1.0,1.0,2074,1,0,1,0,0,1,1,1,0,0,1,1
51000000,6.3,12.0,2.5,5.0,5.0,2078,1,0,1,0,0,1,0,0,1,1,1,0
59900000,7.0,20.0,2.5,5.0,3.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
32500000,4.3,20.0,2.5,4.0,3.0,2074,1,0,1,1,1,1,0,1,1,1,1,0
27500000,3.2,13.0,2.5,5.0,5.0,2077,1,0,1,1,1,1,0,0,1,1,1,0
22500000,4.0,20.0,2.5,4.0,4.0,2068,1,1,0,1,1,1,0,1,1,1,1,0
61000000,6.0,18.0,3.5,6.0,4.0,2070,1,0,1,0,1,1,0,1,1,0,1,0
36900000,4.1,18.0,3.5,5.0,4.0,2079,1,0,1,0,1,1,0,1,1,0,1,0
23000000,2.3,20.0,2.0,3.0,2.0,2070,1,0,1,0,1,1,1,1,1,1,0,0
32000000,4.0,14.0,2.0,5.0,5.0,2079,1,1,0,1,1,1,1,1,1,0,1,0
42500000,4.2,13.0,2.5,7.0,6.0,2080,1,1,0,1,1,1,0,0,1,1,1,0
65000000,7.0,24.0,2.5,9.0,4.0,2074,1,1,0,0,0,1,0,1,1,0,0,0
35000000,4.0,15.0,2.0,6.0,5.0,2076,1,1,0,1,1,1,0,1,1,0,1,0
28000000,3.2,16.0,3.0,6.0,6.0,2076,1,1,0,1,1,1,0,0,1,1,1,0
13300000,3.0,13.0,1.5,2.0,1.0,2077,1,0,1,1,0,1,0,1,0,0,0,1
16000000,2.2,13.0,2.0,4.0,2.0,2075,1,0,1,0,0,1,1,1,0,0,0,1
25000000,3.1,13.0,2.5,4.0,4.0,2068,1,0,1,1,1,1,0,0,1,1,1,0
28000000,3.0,20.0,2.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
27000000,3.2,14.0,2.5,5.0,3.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
39900000,4.2,16.0,2.5,5.0,5.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
49900000,5.0,16.0,3.5,4.0,4.0,2076,1,0,1,1,1,1,0,0,1,0,1,0
17000000,4.2,10.0,2.5,5.0,3.0,2076,1,0,1,0,0,1,1,0,1,1,1,0
42500000,3.3,20.0,2.5,4.0,4.0,2076,1,0,1,1,1,1,0,1,1,0,1,0
17000000,3.0,13.0,2.0,4.0,2.0,2077,1,0,1,0,0,1,0,1,1,0,1,1
32000000,4.2,13.0,2.5,7.0,5.0,2079,1,1,0,1,0,1,0,0,1,1,1,0
25000000,3.2,18.0,3.0,6.0,3.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
23500000,3.2,13.0,2.5,4.0,3.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
20000000,3.2,20.0,3.0,7.0,5.0,2074,1,1,0,0,0,0,0,0,0,0,0,0
39000000,3.0,13.0,2.5,3.0,4.0,2076,1,1,0,1,1,1,0,0,1,1,1,0
33000000,6.0,12.0,2.5,5.0,5.0,2076,1,1,0,1,1,1,0,1,1,1,1,0
85000000,9.3,20.0,2.5,6.0,6.0,2070,1,1,0,1,1,1,0,1,1,1,1,0
60300000,5.0,16.0,3.5,4.0,4.0,2080,1,1,0,1,0,1,0,1,1,0,1,0
16500000,3.1,16.0,2.5,4.0,2.0,2076,1,0,1,1,1,1,0,0,0,1,1,0
22500000,3.1,20.0,2.5,4.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
33000000,6.2,13.0,2.5,6.0,5.0,2076,1,1,0,1,1,1,0,1,1,1,1,0
75000000,9.1,16.0,3.5,8.0,6.0,2076,1,1,0,1,0,1,0,0,1,1,1,0
27500000,3.1,13.0,3.0,5.0,3.0,2077,1,0,1,1,0,0,1,0,1,0,1,0
28500000,3.2,12.0,2.5,6.0,5.0,2077,1,0,1,1,0,0,0,0,1,0,1,0
31500000,4.0,14.0,2.5,6.0,5.0,2080,1,1,0,1,1,1,0,0,1,1,1,0
27500000,4.0,13.0,2.5,7.0,4.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
23500000,3.0,13.0,3.5,6.0,4.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
29000000,5.2,20.0,2.5,6.0,4.0,2074,1,0,1,1,1,1,0,1,1,1,1,0
25500000,3.0,13.0,3.0,6.0,5.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
32500000,4.0,20.0,2.5,3.0,4.0,2076,1,0,1,0,1,1,0,0,1,1,1,0
27000000,3.3,13.0,3.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
24500000,3.1,13.0,2.5,4.0,4.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
29500000,4.2,13.0,2.5,5.0,5.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
25000000,4.0,12.0,2.5,5.0,3.0,2080,1,1,0,1,0,0,1,0,1,0,0,0
38800000,4.0,10.0,5.0,5.0,7.0,2072,1,0,1,1,1,1,0,0,1,1,1,1
45000000,6.0,13.0,2.5,6.0,3.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
24000000,2.3,13.0,3.0,4.0,4.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
23000000,2.2,13.0,3.0,4.0,4.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
26500000,4.0,13.0,3.0,4.0,5.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
32000000,4.1,13.0,2.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
29000000,3.0,13.0,2.5,5.0,5.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
27500000,3.0,20.0,3.5,6.0,4.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
25500000,3.2,13.0,3.0,6.0,6.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
27500000,3.1,13.0,2.5,5.0,5.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
34000000,3.2,26.0,3.0,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
27500000,3.2,20.0,2.5,4.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
42500000,4.1,20.0,2.5,5.0,3.0,2073,1,0,1,1,1,1,0,0,1,1,1,0
16000000,5.2,13.0,2.5,4.0,3.0,2070,1,0,1,0,0,1,1,0,1,1,0,0
35500000,3.2,13.0,2.5,6.0,4.0,2079,1,1,0,1,1,1,0,0,1,0,1,0
27500000,3.0,13.0,2.5,6.0,4.0,2072,1,0,1,0,1,1,0,0,1,1,1,0
59000000,7.1,20.0,2.5,6.0,5.0,2074,1,0,1,1,1,1,0,0,1,1,1,0
28500000,4.0,20.0,2.5,4.0,3.0,2076,1,0,1,1,0,1,0,1,1,1,1,0
27500000,4.0,12.0,3.0,5.0,3.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
28000000,3.1,13.0,2.5,6.0,4.0,2070,1,0,1,1,1,1,0,0,1,1,1,0
32500000,4.0,14.0,2.5,6.0,4.0,2063,1,0,1,1,1,1,0,0,1,1,1,0
39000000,4.2,13.0,2.5,6.0,5.0,2071,1,1,0,0,0,1,0,1,1,1,1,0
42500000,4.0,20.0,2.5,4.0,6.0,2066,1,1,0,0,1,1,0,1,1,1,1,0
47500000,7.0,20.0,3.0,4.0,5.0,2068,1,1,0,0,1,1,0,1,1,1,1,0
34500000,3.3,13.0,2.5,4.0,4.0,2072,1,1,0,1,0,1,0,0,1,1,1,0
29000000,6.1,20.0,2.5,11.0,4.0,2076,1,1,0,1,1,1,0,1,1,1,1,0
26500000,2.9,13.0,3.5,5.0,4.0,2076,1,0,1,1,1,1,0,0,1,1,1,0
15000000,6.0,15.0,2.0,4.0,4.0,2064,1,0,1,1,1,1,0,1,1,1,0,0
42500000,4.2,16.0,3.5,7.0,5.0,2059,1,0,1,1,1,1,0,0,1,1,1,0
42000000,4.2,12.0,3.0,6.0,5.0,2070,1,0,1,1,1,1,0,0,1,1,1,0
27500000,3.2,20.0,2.5,7.0,6.0,2076,1,1,0,0,1,1,0,1,1,1,1,0
29500000,4.2,16.0,3.5,5.0,4.0,2074,1,1,0,1,1,1,0,0,0,1,1,0
45000000,2.2,27.0,5.0,7.0,4.0,2065,0,1,0,0,1,1,1,0,1,1,1,0
21000000,7.0,14.0,2.5,4.0,4.0,2072,1,1,0,1,0,1,0,0,1,1,0,0
39000000,4.3,16.0,2.5,6.0,4.0,2070,1,0,1,1,1,1,0,0,1,1,1,0
27500000,4.0,20.0,2.5,4.0,4.0,2070,1,0,1,1,1,1,0,0,1,1,1,0
46000000,7.2,13.0,2.5,4.0,5.0,2071,1,1,0,1,1,1,0,1,0,1,1,0
24000000,3.2,13.0,2.5,6.0,5.0,2070,1,1,0,1,1,0,1,0,0,0,0,0
60000000,10.2,13.0,3.5,8.0,5.0,2072,1,1,0,0,1,1,0,1,1,1,1,0
38500000,4.2,13.0,3.0,6.0,5.0,2072,1,1,0,1,1,1,0,0,1,1,1,0
28000000,4.0,13.0,2.5,5.0,4.0,2076,1,1,0,1,0,1,1,0,1,0,0,0
