TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 4.5 Cr ,5.0 aana,,15 Feet,North-East,2.5,6.0,5.0,2076 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage', 'Power Backup']"
Bungalow house for rent in Basundhara,"Matatirtha, Kathmandu",Rs. 2 Cr ,8.0 aana,,16 Feet,,2.5,8.0,,2072 B.S,,"['Drinking Water', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"Balkhu, Kathmandu",Rs. 7.2 Cr ,8.0 aana,,20 Feet,West,2.5,7.0,5.0,2072 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Golfutar, Kathmandu",Rs. 2.5 Cr ,3.2 aana,,16 Feet,,2.5,4.0,4.0,2072 B.S,,"['Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Marbel', 'Parquet', 'Parking']"
Bungalow house for rent in Basundhara,"Taukhel, Lalitpur",Rs. 3 Cr ,4.2 aana,,8 Feet,North,2.5,4.0,3.0,2075 AD B.S,,"['Bathroom', 'Drainage', 'Drinking Water', 'Marbel', 'Parking']"
Bungalow house for rent in Basundhara,"Chhauni, Kathmandu",Rs. 2.6 Cr ,3.2 aana,,13 Feet,East,2.5,5.0,3.0,2058 B.S,,"['Marbel', 'Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Mandikhatar, Kathmandu",Rs. 1.85 Cr,2.7 aana,,13 Feet,South,2.5,6.0,5.0,2068 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking']"
Bungalow house for rent in Basundhara,"aanapurna Tole, Rupandehi",Rs. 14 Cr ,3.0 kattha,,32 Feet,,3.0,16.0,,2058 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Marbel', 'Parquet', 'Garden', 'Parking', 'Internet', 'Swimming Pool', 'Playground', 'Lift']"
Bungalow house for rent in Basundhara,"Deuwa chowk, Kathmandu",Rs. 4.5 Cr ,4.3 aana,,13 Feet,South,2.5,5.0,4.0,2079 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Internet', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 4.5 Cr ,5.0 aana,,13 Feet,North,3.0,6.0,4.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Water Purifier', 'Parking', 'Modular Kitchen', 'Drainage', 'Bathroom']"
Bungalow house for rent in Basundhara,"Nakkhu, Lalitpur",Rs. 3.95 Cr ,5.0 aana,,13 Feet,East,2.5,4.0,4.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Water Purifier', 'Garden', 'Drainage', 'Parking', 'Bathroom', 'Drinking Water', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Hepali Height, Kathmandu",Rs. 4.5 Cr ,4.2 aana,,20 Feet,South-West,3.0,3.0,3.0,2075 AD B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'MiCrowave', 'Dining Room', 'Solar', 'CC Camera', 'Water Purifier', 'Washing Machine']"
Bungalow house for rent in Basundhara,"Bhadrabas, Kathmandu",Rs. 1.25 Cr ,,,20 Feet,,1.0,2.0,1.0,2058 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Drinking Water', 'Earthquake Resistant']"
Bungalow house for rent in Basundhara,"Dhapasi, Kathmandu",Rs. 4.1 Cr ,4.0 aana,,20 Feet,South-East,3.0,5.0,4.0,2068 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 3.8 Cr ,3.3 aana,,13 Feet,East,3.0,4.0,4.0,2070 B.S,,"['Parquet', 'Earthquake Resistant', 'Marbel', 'Drainage', 'Modular Kitchen', 'Drinking Water', 'Bathroom']"
Bungalow house for rent in Basundhara,"Dhapasi, Kathmandu",Rs. 3.75 Cr ,4.0 aana,,13 Feet,East,3.0,6.0,4.0,2058 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Drainage', 'Drinking Water', 'Modular Kitchen', 'Bathroom']"
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 6.5 Cr ,6.2 aana,,14 Feet,East,2.5,6.0,7.0,2075 B.S,,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Garden', 'Modular Kitchen', 'Parking', 'Drainage', 'Bathroom', 'Drinking Water', 'Internet']"
Bungalow house for rent in Basundhara,"Hattiban, Lalitpur",Rs. 9 Cr ,8.0 aana,,20 Feet,South,2.0,4.0,5.0,2070 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Balkhu, Lalitpur",Rs. 2.49 Cr ,2.3 aana,1391 Sq. Feet,20 Feet,North,2.5,3.0,3.0,2070 B.S,,"['Marbel', 'Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 4.5 Cr ,5.0 aana,,16 Feet,South,2.0,4.0,4.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Bhaktapur, Bhaktapur",Rs. 1.4 Cr ,3.2 aana,,12-16 Feet,West,2.0,3.0,2.0,2072 B.S,,"['Drinking Water', 'Drainage', 'Bathroom', 'Parking']"
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 1.2 Lac/m,4.2 aana,,20 Feet,East,2.5,3.0,4.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Sofa', 'Gym', 'Fridge', 'CC Camera', 'Solar', 'Dining Room', 'MiCrowave', 'AirCon']"
Bungalow house for rent in Basundhara,"Rudreshwor, Kathmandu",Rs. 5.95 Cr ,6.0 aana,,13 Feet,South,3.0,5.0,5.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Sofa', 'Fridge', 'MiCrowave', 'Dining Room', 'Solar', 'CC Camera', 'Water Purifier', 'Washing Machine']"
Bungalow house for rent in Basundhara,"Jarankhu, Kathmandu",Rs. 3.5 Cr ,4.0 aana,,13 Feet,,3.5,8.0,4.0,2073 B.S,,"['Marbel', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Paiyuntar, Kathmandu",Rs. 3 Cr ,4.3 aana,,12 Feet,West,2.5,5.0,4.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Solar', 'Bathroom', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 5 Cr ,5.1 aana,,15 Feet,East,2.5,4.0,5.0,2072 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Ganesh Chowk, Kathmandu",Rs. 4.5 Cr ,5.2 aana,,13 Feet,South-West,2.5,5.0,4.0,2072 B.S,,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Solar', 'Water Purifier', 'Modular Kitchen', 'Drinking Water', 'Bathroom', 'Drainage', 'Power Backup']"
Bungalow house for rent in Basundhara,"Hattiban, Lalitpur",Rs. 4.65 Cr ,4.2 aana,,20+ Feet,South-West,2.5,4.0,4.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Baluwatar, Kathmandu",Rs. 1.5 Lac/m,8.0 aana,,12-18 Feet,,2.0,3.0,4.0,2075 AD B.S,,"['Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']"
Bungalow house for rent in Basundhara,"Kalimati, Kathmandu",Rs. 8.2 Cr ,10.0 aana,,20-26 Feet,,2.5,6.0,4.0,2068 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage', 'Garden']"
Bungalow house for rent in Basundhara,"Kalikasthan, Kathmandu",Rs. 2.5 Cr ,1.3 aana,,30 Feet,East,2.5,4.0,,2065 B.S,,"['Drainage', 'Bathroom', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 2.98 Cr ,4.1 aana,,13 Feet,,2.5,5.0,4.0,2076 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Birtamode, Jhapa",Rs. 1.5 Cr ,0.11 kattha,1600 Sq. Feet,14 Feet,East,2.5,4.0,4.0,2076 B.S,,"['Parking', 'Bathroom', 'Drinking Water', 'Marbel', 'Drainage']"
Bungalow house for rent in Basundhara,"Chandol, Kathmandu",Rs. 2 Lac/m,16.0 aana,,16 Feet,,2.5,4.0,4.0,2076 B.S,,"['Marbel', 'Drainage', 'Garden', 'Bathroom', 'Drinking Water', 'Parking', 'Parquet']"
Bungalow house for rent in Basundhara,"Chundevi, Kathmandu",Rs. 1.8 Lac/m,18.0 aana,,12-18 Feet,West,2.5,,,2068 B.S,,"['Marbel', 'Parquet', 'Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Lazimpat, Kathmandu",Rs. 2.75 Lac/m,20.0 aana,,12-18 Feet,West,2.5,11.0,4.0,2075 B.S,,"['Marbel', 'Parquet', 'Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup']"
Bungalow house for rent in Basundhara,"Gurjudhara, Kathmandu",Rs. 1.9 Cr ,,,13 Feet,,1.5,8.0,,2079 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Bungalow house for rent in Basundhara,"Samakhusi, Kathmandu",Rs. 1.5 Lac/m,7.0 aana,0-4-2-0 Ropani-aana-Paisa-Daam,20 Feet,South,2.0,6.0,3.0,2075 B.S,,"['Parking', 'Drainage', 'Bathroom', 'Garden', 'Drinking Water', 'Marbel']"
Bungalow house for rent in Basundhara,"Hattiban, Lalitpur","Rs. 85,000 /m",4.2 aana,,16 Feet,North-West,2.5,4.0,4.0,2070 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Dining Room', 'CC Camera', 'Bed Room', 'Garden', 'Swimming Pool', 'Playground', 'Parking', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Thulobharyang, Kathmandu",Rs. 2.9 Cr ,4.0 aana,,10-14 Feet,,2.5,6.0,3.0,2070 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Bansbari, Kathmandu",Rs. 9.6 Cr ,16.0 aana,,15 Feet,South-East,2.5,7.0,6.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage', 'Garden']"
Bungalow house for rent in Basundhara,"Dhapasi, Kathmandu",Rs. 2.3 Cr ,,,13 Feet,North-East,2.5,4.0,3.0,2072 B.S,,"['Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Bhadrabas, Kathmandu",Rs. 1.25 Cr ,4.0 aana,,20 Feet,North,1.0,2.0,2.0,2072 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Earthquake Resistant', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Bagdol, Lalitpur",Rs. 5.5 Cr ,6.0 aana,,16 Feet,East,3.5,7.0,4.0,2076 B.S,,"['Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Marbel']"
Bungalow house for rent in Basundhara,"Dhapasi, Kathmandu",Rs. 12.5 Cr ,3.0 aana,,18 Feet,,2.0,5.0,5.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking', 'Marbel', 'Parquet']"
Bungalow house for rent in Basundhara,"Ganesh Chowk, Kathmandu",Rs. 6.75 Cr ,6.1 aana,2900 Sq. Feet,12 Feet,,2.5,6.0,5.0,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Solar', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Baluwatar, Kathmandu",Rs. 2 Lac/m,8.0 aana,,12-18 Feet,North,2.5,4.0,4.0,,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Marbel', 'Parquet', 'Power Backup', 'AirCon']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 15 Cr ,8.0 aana,,12-15 Feet,,2.0,5.0,6.0,2072 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Kapan, Kathmandu",Rs. 3.6 Cr ,5.0 aana,,13 Feet,North,3.5,6.0,5.0,2072 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Price on call,8.2 aana,,13 Feet,East,2.5,6.0,7.0,,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'AirCon', 'MiCrowave', 'Dining Room', 'Solar', 'CC Camera', 'Water Purifier']"
Bungalow house for rent in Basundhara,"Siddhartha Colony, Kathmandu",Rs. 13.5 Cr ,21.0 aana,,20 Feet,East,2.5,6.0,6.0,2072 B.S,,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Narayanthan , Kathmandu",Rs. 4.25 Cr ,3.3 aana,,16 Feet,South,2.5,5.0,5.0,2017 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Water Purifier', 'Parking', 'Modular Kitchen', 'Bathroom', 'Drinking Water', 'Drainage']"
Bungalow house for rent in Basundhara,"Nakkhu, Lalitpur",Rs. 5.3 Cr ,5.2 aana,,13 Feet,South-West,2.5,4.0,4.0,2070 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Garden', 'Bed Room', 'Water Purifier', 'Modular Kitchen', 'Parking', 'Drinking Water', 'Internet']"
Bungalow house for rent in Basundhara,"Jhamsikhel, Lalitpur",Rs. 4 Lac/m,32.0 aana,,20 Feet,,2.5,10.0,10.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden', 'Power Backup']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 4 Cr ,5.0 aana,,20 Feet,West,2.5,5.0,4.0,2019 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Marbel', 'Parquet', 'Parking']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 15 Cr ,8.2 aana,,13 Feet,South,2.5,6.0,7.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Bathroom', 'Parking', 'Washing Machine', 'AirCon', 'Internet', 'Fridge']"
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 3.65 Cr ,6.2 aana,,15 Feet,East,2.5,5.0,5.0,2017 B.S,,"['Drinking Water', 'Power Backup', 'Bathroom', 'Parking']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 3.99 Cr ,5.0 aana,2700 Sq. Feet,15 Feet,East,2.5,4.0,4.0,2065 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Ranibari, Kathmandu",Rs. 2.5 Lac/m,15.0 aana,,30 Feet,North,2.5,4.0,3.0,2075 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Sundarbasti, Kathmandu",Rs. 3.85 Cr ,4.2 aana,,20 Feet,,2.5,6.0,5.0,2075 B.S,,"['Drinking Water', 'Bathroom', 'Parking']"
Bungalow house for rent in Basundhara,"Sundarbasti, Kathmandu",Rs. 3.85 Cr ,5.0 aana,,13 Feet,,2.5,6.0,5.0,2074 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Sitapaila, Kathmandu",Rs. 6.74 Cr ,10.2 aana,1860 Sq. Feet,20 Feet,North-West,2.0,4.0,3.0,2075 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden', 'Swimming Pool', 'Power Backup']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 11 Cr ,15.0 aana,,15 Feet,North-East,2.5,5.0,6.0,,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden']"
Bungalow house for rent in Basundhara,"Manbhawan, Lalitpur",Rs. 8.5 Lac/m,9228 sq. ft,9228 Sq. Feet,20 Feet,,5.0,,,,,"['Marbel', 'Earthquake Resistant', 'Bathroom', 'Drainage', 'Parking', 'Garden']"
Bungalow house for rent in Basundhara,"Gothatar, Kathmandu",Rs. 1.4 Cr ,3.2 aana,,20 Feet,,1.0,2.0,1.0,2072 B.S,,"['Drainage', 'Bathroom', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Gongabu, Kathmandu",Rs. 3.15 Cr ,4.0 aana,,13 Feet,South,2.5,11.0,5.0,2073 B.S,,"['Drinking Water', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 4.75 Cr ,4.2 aana,2600 Sq. Feet,13 Feet,South-East,2.5,5.0,4.0,2073 B.S,,"['Marbel', 'Parquet', 'Drinking Water', 'Earthquake Resistant', 'Bathroom', 'Drainage', 'Parking', 'Solar']"
Bungalow house for rent in Basundhara,"Thaiba, Lalitpur",Rs. 3.7 Cr,4.5 aana,,22 Feet,,2.5,6.0,4.0,2071 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking']"
Bungalow house for rent in Basundhara,"Jarankhu, Kathmandu",Rs. 2.5 Cr ,4.0 aana,,12 Feet,South-East,2.5,5.0,3.0,2073 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Dhapakhel, Lalitpur",Rs. 1.85 Cr ,4.2 aana,,26 Feet,West,2.5,4.0,3.0,2070 B.S,,"['Bathroom', 'Drainage', 'Marbel', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Sudal, Bhaktapur",Rs. 2.1 Cr ,3.3 aana,2565.09 Sq. Feet,10 Feet,East,3.5,10.0,3.0,2074 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water', 'Solar', 'Marbel']"
Bungalow house for rent in Basundhara,"Khumaltar, Lalitpur",Rs. 3.5 Cr ,6.0 aana,,22 Feet,North-East,2.5,6.0,4.0,2019 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Nakhipot, Lalitpur",Rs. 2.75 Cr ,4.0 aana,,14-20 Feet,,2.5,4.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Modular Kitchen']"
Bungalow house for rent in Basundhara,"Aarubari, Kathmandu",Rs. 1.9 Cr ,,,12-26 Feet,North-West,3.5,10.0,3.0,2060 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"Baluwa, Kathmandu",Rs. 1.9 Cr ,3.2 aana,1980 Sq. Feet,13 Feet,North,2.5,5.0,4.0,2065 B.S,,"['Earthquake Resistant', 'Marbel', 'Parking', 'Internet', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Deuwa chowk, Kathmandu",Rs. 5.25 Cr ,8.0 aana,1250 Sq. Meter,12 Feet,East,3.0,8.0,4.0,2075 B.S,,"['Marbel', 'Garden', 'Parking', 'Playground', 'Bathroom', 'Drainage', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Tinthana, Kathmandu",Rs. 1.98 Cr ,3.0 aana,,13 Feet,,2.5,8.0,,2075 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"Sitapaila, Kathmandu",Price on call,5.0 aana,2200 Sq. Feet,20 Feet,East,2.5,3.0,4.0,2074 B.S,,"['Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking']"
Bungalow house for rent in Basundhara,"Machhegaun , Kathmandu",Rs. 4.5 Cr ,8.0 aana,96 Sq. Meter,13 Feet,North-East,2.5,5.0,4.0,2075 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Iron', 'Modular Kitchen', 'Parking', 'Bathroom', 'Drainage', 'Drinking Water', 'Internet']"
Bungalow house for rent in Basundhara,"Imadol, Lalitpur",Rs. 2.65 Cr ,3.2 aana,1164.85 Sq. Feet,11 Feet,North-West,2.5,4.0,4.0,2076 B.S,,"['Drainage', 'Bathroom', 'Earthquake Resistant', 'Marbel', 'Parking']"
Bungalow house for rent in Basundhara,"Satdobato, Lalitpur",Rs. 4.5 Cr ,6.1 aana,,12 Feet,,2.5,6.0,3.0,2076 B.S,,"['Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel']"
Bungalow house for rent in Basundhara,"Swoyambhu, Kathmandu",Rs. 11 Cr ,19.0 aana,,18 Feet,North,2.5,11.0,9.0,2056 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Jhamsikhel, Lalitpur",Rs. 1.7 Lac/m,12.0 aana,,20 Feet,,1.5,5.0,5.0,2071 B.S,,[]
Bungalow house for rent in Basundhara,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.2 aana,,20 Feet,South-West,2.5,6.0,1.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Gothatar, Kathmandu",Rs. 35 Lac/aana,8.0 aana,,15 Feet,East,,,,2070 B.S,,[]
Bungalow house for rent in Basundhara,"Sinamangal, Kathmandu",Rs. 4.5 Cr ,5.2 aana,,13 Feet,,2.5,5.0,5.0,2074 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel']"
Bungalow house for rent in Basundhara,"Hattigaunda, Kathmandu",Rs. 1.3 Lac/m,5.0 aana,,14-20 Feet,West,2.5,4.0,4.0,2019 B.S,,"['Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking', 'Power Backup', 'Gym', 'Fridge', 'Swimming Pool', 'Garden']"
Bungalow house for rent in Basundhara,"Chundevi, Kathmandu",Rs. 1.5 Lac/m,4.0 aana,,12-18 Feet,East,2.5,4.0,5.0,2073 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel', 'Parquet', 'Fridge', 'AirCon', 'Power Backup', 'Internet']"
Bungalow house for rent in Basundhara,"Khumaltar, Lalitpur",Rs. 4.25 Cr ,5.2 aana,,18 Feet,West,2.5,7.0,4.0,2060 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Radhe Radhe, Bhaktapur",Rs. 6.25 Cr ,8.0 aana,,16 Feet,South-East,2.5,6.0,3.0,2065 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Garden']"
Bungalow house for rent in Basundhara,"Dhapakhel, Lalitpur",Rs. 4.2 Cr ,8.2 aana,2300 Sq. Feet,13 Feet,North-East,2.0,4.0,3.0,2075 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Chunikhel, Kathmandu",Rs. 1.55 Cr ,3.0 aana,,20 Feet,South,1.0,4.0,,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"Kapan, Kathmandu",Rs. 3.35 Cr ,4.0 aana,,13-18 Feet,,2.5,,,2076 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']"
Bungalow house for rent in Basundhara,"SuryadaRs.han Height, Kathmandu",Rs. 3.25 Cr ,3.3 aana,3526.52 Sq. Feet,16 Feet,West,3.5,5.0,3.0,2056 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Old Baneshwor, Kathmandu",Rs. 6 Lac/m,24.0 aana,10000 Sq. Meter,32 Feet,West,2.0,,8.0,2071 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Solar', 'Garden', 'Parking', 'Bathroom', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Dhapakhel, Lalitpur",Rs. 2.9 Cr ,3.0 aana,,26 Feet,South-East,2.5,3.0,3.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 3.2 Cr ,4.0 aana,,20 Feet,South,2.5,4.0,4.0,2070 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Power Backup', 'Parking']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 3.25 Cr ,4.1 aana,,20 Feet,,2.5,,,2019 B.S,,"['Bathroom', 'Drainage', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Sukedhara, Kathmandu",Rs. 4.95 Cr ,4.0 aana,,12 Feet,,2.0,,,2073 B.S,,"['Earthquake Resistant', 'Parking', 'Drainage', 'Bathroom', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,5.0 aana,,18 Feet,,2.5,3.0,3.0,2060 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 4.25 Cr ,,,18 Feet,,2.5,,,2065 B.S,,"['Bathroom', 'Drainage', 'Earthquake Resistant', 'Marbel', 'Drinking Water']"
Bungalow house for rent in Basundhara,"Sanepa, Lalitpur",Rs. 7.75 Cr ,9.2 aana,,16 Feet,East,2.5,4.0,4.0,2075 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking']"
Bungalow house for rent in Basundhara,"Boharatar, Kathmandu",Rs. 2 Cr ,3.0 aana,,13 Feet,East,2.0,5.0,2.0,2075 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Budhanilkantha, Kathmandu",Rs. 4.8 Cr ,4.0 aana,,25 Feet,North-East,2.5,6.0,5.0,2074 B.S,,"['Drinking Water', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Bansbari, Kathmandu","Rs. 80,000 /m",9.0 aana,,13 Feet,South,2.0,3.0,3.0,2075 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage', 'Garden']"
Bungalow house for rent in Basundhara,"Gwarko, Lalitpur",Rs. 1.5 Lac/m,4.2 aana,,16 Feet,,2.5,8.0,5.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow house for rent in Basundhara,"Gundu, Bhaktapur",Rs. 1.5 Cr ,10.0 aana,,20 Feet,,1.0,,,2076 B.S,,"['Bathroom', 'Drinking Water']"
