TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
Bungalow House for Sale,"Maharajgunj, Kathmandu",Rs. 10.5 Cr ,11.0 aana,,12 Feet,South,2.5,4.0,4.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Balcony', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Garden', 'Solar', 'Terrace', 'Fridge']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 14 Cr ,19.0 aana,,26 Feet,East,2.5,4.0,4.0,2075 B.S,3 CaRs.,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
3 BHK House for Sale,"Sunakothi, Lalitpur",Rs. 3.5 Cr ,4.0 aana,,20 Feet,North,2.5,3.0,4.0,2080 B.S,,"['Earthquake Resistant', 'Marbel', 'Drinking Water', 'Balcony', 'Parquet', 'Parking', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room']"
 House for Sale,"Kapan, Kathmandu",Rs. 2.2 Cr ,3.0 aana,,16 Feet,South,2.5,6.0,5.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Dhobighat, Lalitpur",Rs. 3.75 Cr ,3.0 aana,,16 Feet,South,2.5,4.0,4.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Fridge', 'Sofa', 'MiCrowave', 'Modular Kitchen', 'Closet']"
 House for Sale,"Hattiban, Lalitpur",Rs. 8 Cr ,6.0 aana,,20 Feet,South,2.0,5.0,4.0,2078 B.S,3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Modular Kitchen', 'Fridge', 'Sofa', 'MiCrowave']"
Bungalow House for Sale,"Satdobato, Lalitpur",Rs. 5.5 Cr ,4.2 aana,,13 Feet,South-East,3.5,6.0,7.0,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,3.3 aana,2060 Sq. Ft.,13 Feet,South-West,2.5,4.0,4.0,2075 B.S,1 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Iron', 'Modular Kitchen', 'Closet']"
 House for Sale,"Sanepa, Lalitpur",Rs. 7.75 Cr ,9.0 aana,2500 Sq. Ft.,20 Feet,South-West,2.5,5.0,5.0,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parking', 'Sofa', 'Iron', 'MiCrowave', 'Modular Kitchen', 'Closet', 'Bathroom']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,22.0 aana,3500 Sq. Ft.,13 Feet,North,2.5,7.0,7.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Solar', 'Parking', 'Garden', 'Balcony', 'Terrace', 'Fridge', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.19 Cr ,4.1 aana,,13 Feet,South,2.5,5.0,3.0,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Sitapaila, Kathmandu",Rs. 10 Cr ,23.0 aana,,13 Feet,West,2.5,4.0,3.0,2074 B.S,2 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Power Backup', 'Dining Room']"
 House for Sale,"Pokhara, Kaski",Rs. 12 Cr ,11.0 aana,,20 Feet,West,2.5,4.0,4.0,2080 B.S,2 Bikes,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Kitchen']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.25 Cr ,6.4 aana,2870 Sq. Ft.,13 Feet,North-West,2.5,5.0,6.0,2078 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Terrace', 'Drainage', 'Parking', 'Fridge', 'Sofa', 'Water Purifier', 'MiCrowave', 'Power Backup']"
Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,22.0 aana,,12 Feet,North,2.5,7.0,7.0,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Balcony', 'Drinking Water', 'Modular Kitchen', 'Closet', 'Internet', 'Water Purifier', 'Power Backup']"
4 BHK House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,2.2 aana,,12 Feet,North,2.5,4.0,4.0,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
Bungalow House for Sale,"Imadol, Lalitpur",Rs. 5.99 Cr ,7.0 aana,,20 Feet,East,2.5,,5.0,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa', 'TV', 'MiCrowave']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.0 aana,,25 Feet,South,2.5,6.0,4.0,2078 B.S,2 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.1 aana,,13 Feet,North,3.0,5.0,3.0,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Sofa', 'Water Purifier', 'Power Backup', 'Modular Kitchen']"
4 BHK House for Sale,"Sanepa, Lalitpur",Rs. 3.35 Cr ,5.0 aana,,19 Feet,West,2.5,4.0,2.0,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Balcony', 'Terrace', 'Parking', 'Sofa', 'Fridge', 'MiCrowave', 'Iron']"
